Stock_ID,Date,Product_ID,Opening_Stock,Received,Sold,Adjustments,Closing_Stock
1,2025-01-01,101,30,0,1,0,29
2,2025-01-01,102,0,0,0,0,0
3,2025-01-01,103,0,0,0,0,0
4,2025-01-01,104,31,0,0,0,31
5,2025-01-01,105,25,0,0,0,25
6,2025-01-01,106,58,0,1,0,57
7,2025-01-01,108,16,0,0,0,16
8,2025-01-01,109,31,0,0,0,31
9,2025-01-01,110,55,0,4,0,51
10,2025-01-01,112,66,0,0,0,66
11,2025-01-01,113,0,0,0,0,0
12,2025-01-01,114,14,0,1,0,13
13,2025-01-01,115,0,0,0,0,0
14,2025-01-01,116,33,0,0,0,33
15,2025-01-01,117,28,0,0,0,28
16,2025-01-01,118,61,0,0,0,61
17,2025-01-01,119,58,0,1,0,57
18,2025-01-01,120,0,0,0,0,0
19,2025-01-01,121,0,0,0,0,0
20,2025-01-01,122,13,0,0,0,13
21,2025-01-01,123,33,0,0,0,33
22,2025-01-01,124,0,0,0,0,0
23,2025-01-01,125,13,0,0,0,13
24,2025-01-01,126,13,0,0,0,13
25,2025-01-01,127,28,0,0,-1,27
26,2025-01-01,128,0,0,0,0,0
27,2025-01-01,129,15,0,1,0,14
28,2025-01-01,130,16,0,0,0,16
29,2025-01-01,131,68,0,3,0,65
30,2025-01-01,132,0,0,0,0,0
31,2025-01-01,133,0,0,0,0,0
32,2025-01-01,134,28,0,0,0,28
33,2025-01-01,135,29,0,1,0,28
34,2025-01-01,136,0,0,0,0,0
35,2025-01-01,137,0,0,0,0,0
36,2025-01-01,138,26,0,1,0,25
37,2025-01-01,139,30,0,1,0,29
38,2025-01-01,140,0,0,0,0,0
39,2025-01-01,141,34,0,0,0,34
40,2025-01-01,142,63,0,0,0,63
41,2025-01-01,143,61,0,0,0,61
42,2025-01-01,144,0,0,0,0,0
43,2025-01-01,145,29,0,1,0,28
44,2025-01-01,146,16,0,0,0,16
45,2025-01-01,147,0,0,0,0,0
46,2025-01-01,148,14,0,0,0,14
47,2025-01-01,149,26,0,1,0,25
48,2025-01-01,150,14,0,0,0,14
49,2025-01-01,151,52,0,2,0,50
50,2025-01-01,152,27,0,0,0,27
51,2025-01-01,153,0,0,0,0,0
52,2025-01-01,154,0,0,0,0,0
53,2025-01-01,155,12,0,0,0,12
54,2025-01-01,156,59,0,1,0,58
55,2025-01-01,157,31,0,0,0,31
56,2025-01-01,158,57,0,0,0,57
57,2025-01-01,159,58,0,0,0,58
58,2025-01-01,160,34,0,1,0,33
59,2025-01-01,161,32,0,0,0,32
60,2025-01-01,162,0,0,0,0,0
61,2025-01-01,163,15,0,0,0,15
62,2025-01-01,164,28,0,0,0,28
